row_index,build,questionnaire_type,score_pid,matched_tracking_pid,id_match_mode,tracking_file,source_score_row,vr_system_raw,vr_system_ordinal,vr_system_label
0,A,SUS,FAB19823F,FAB19823F,exact,FAB19823F_BuildA_20230123_135305.csv,0,1,0,no_vr_system
1,A,SUS,FAB20552M,FAB20552M,exact,FAB20552M_BuildA_20220728_152146.csv,1,1,0,no_vr_system
2,A,SUS,FAB35565M,FAB35565M,exact,FAB35565M_BuildA_20220718_132236.csv,2,2,1,has_vr_system
3,A,SUS,FAB36376F,FAB36376F,exact,FAB36376F_BuildA_20230123_162615.csv,3,1,0,no_vr_system
4,A,SUS,FAB43889M,FAB43889M,exact,FAB43889M_BuildA_20220713_203807.csv,4,1,0,no_vr_system
5,A,SUS,FAB62905F,FAB62905F,exact,FAB62905F_BuildA_20230216_170508.csv,5,1,0,no_vr_system
6,A,SUS,FAB64182M,FAB64182M,exact,FAB64182M_BuildA_20230123_152135.csv,6,1,0,no_vr_system
7,A,SUS,FAB68627M,FAB68627M,exact,FAB68627M_BuildA_20221117_144612.csv,7,1,0,no_vr_system
8,A,SUS,FAB75290M,FAB75290M,exact,FAB75290M_BuildA_20230113_180658.csv,8,1,0,no_vr_system
9,A,SUS,FAB90971F,FAB90971F,exact,FAB90971F_BuildA_20230216_161033.csv,9,1,0,no_vr_system
10,A,SUS,FAB95060F,FAB95060F,exact,FAB95060F_BuildA_20230210_192240.csv,10,1,0,no_vr_system
11,A,SUS,FAB95536F,FAB95536F,exact,FAB95536F_BuildA_20221007_215130.csv,11,1,0,no_vr_system
12,A,SUS,FAB96284O,FAB96284M,base_key,FAB96284M_BuildA_20220921_162655.csv,12,1,0,no_vr_system
13,A,SUS,FAB10068F,FAB10068F,exact,FAB10068F_BuildA_20221130_161848.csv,13,1,0,no_vr_system
14,A,SUS,FAB11629F,FAB11629F,exact,FAB11629F_BuildA_20220707_184922.csv,14,2,1,has_vr_system
15,A,SUS,FAB12013F,FAB12013F,exact,FAB12013F_BuildA_20230113_171036.csv,15,1,0,no_vr_system
16,A,SUS,FAB12101F,FAB12101F,exact,FAB12101F_BuildA_20230214_200857.csv,16,1,0,no_vr_system
17,A,SUS,FAB13229M,FAB13229M,exact,FAB13229M_BuildA_20230203_201706.csv,17,2,1,has_vr_system
18,A,SUS,FAB15389M,FAB15389M,exact,FAB15389M_BuildA_20221118_214234.csv,18,1,0,no_vr_system
19,A,SUS,FAB15605M,FAB15605M,exact,FAB15605M_BuildA_20221011_131802.csv,19,1,0,no_vr_system
20,A,SUS,FAB15800O,FAB15800F,base_key,FAB15800F_BuildA_20230120_205637.csv,20,2,1,has_vr_system
21,A,SUS,FAB16401F,FAB16401F,exact,FAB16401F_BuildA_20220718_144842.csv,21,1,0,no_vr_system
22,A,SUS,FAB16803F,FAB16803F,exact,FAB16803F_BuildA_20220707_161524.csv,22,1,0,no_vr_system
23,A,SUS,FAB17745M,FAB17745M,exact,FAB17745M_BuildA_20220719_133424.csv,23,2,1,has_vr_system
24,A,SUS,FAB20077M,FAB20077M,exact,FAB20077M_BuildA_20221122_150727.csv,24,2,1,has_vr_system
25,A,SUS,FAB21337F,FAB21337F,exact,FAB21337F_BuildA_20220725_211657.csv,25,1,0,no_vr_system
26,A,SUS,FAB21952F,FAB21952F,exact,FAB21952F_BuildA_20230120_181441.csv,26,1,0,no_vr_system
27,A,SUS,FAB22008F,FAB22008F,exact,FAB22008F_BuildA_20230125_151318.csv,27,1,0,no_vr_system
28,A,SUS,FAB26097M,FAB26097M,exact,FAB26097M_BuildA_20230113_211656.csv,28,2,1,has_vr_system
29,A,SUS,FAB26146M,FAB26146M,exact,FAB26146M_BuildA_20230123_130334.csv,29,1,0,no_vr_system
30,A,SUS,FAB26282M,FAB26282M,exact,FAB26282M_BuildA_20220630_153314.csv,30,1,0,no_vr_system
31,A,SUS,FAB28076M,FAB28076M,exact,FAB28076M_BuildA_20221122_141342.csv,31,1,0,no_vr_system
32,A,SUS,FAB28505M,FAB28505M,exact,FAB28505M_BuildA_20221130_171640.csv,32,1,0,no_vr_system
33,A,SUS,FAB30237M,FAB30237M,exact,FAB30237M_BuildA_20220923_214142.csv,33,1,0,no_vr_system
34,A,SUS,FAB31369F,FAB31369F,exact,FAB31369F_BuildA_20221118_224055.csv,34,2,1,has_vr_system
35,A,SUS,FAB31608M,FAB31608M,exact,FAB31608M_BuildA_20221115_153415.csv,35,1,0,no_vr_system
